iconId,iconCategory,iconMonth,iconDay,iconDday,iconIdx,iconSid,iconName,iconIcon,iconFlag
1,1,0,0,"",0,0,The Twelve Great Feasts,"",1
2,1,9,8,September 8th,1,102541,Nativity of the Virgin Mary,greatfeasts/0908nativityofmary.jpg,0
3,1,9,14,September 14th,2,102610,Elevation of the Precious Cross,greatfeasts/0914elevation.jpg,0
4,1,11,21,November 21st,3,103357,Entrance of the Virgin Mary into the Temple,greatfeasts/1121presentationofmary.jpg,0
5,1,12,25,December 25th,4,103638,Nativity of Our Lord,nativity/Nativityb.jpg,0
6,1,1,6,January 6th,5,100106,Theophany of Our Lord,greatfeasts/0106theophany02.jpg,0
7,1,2,2,February 2nd,6,100407,Meeting of Our Lord in the Temple,greatfeasts/0202apresentation.jpg,0
8,1,3,25,March 25th,7,100884,Annunciation of the Virgin Mary,greatfeasts/0325annunciation.jpg,0
9,1,0,0,Sunday before Pascha,8,20,Entry of Our Lord into Jerusalem,greatfeasts/entryintojerusalem.jpg,0
10,1,0,0,40 Days after Pascha,9,42,Ascension of Our Lord,pascha/ascension.jpg,0
11,1,0,0,50 Days after Pascha,10,45,Pentecost,pascha/pentecostb.jpg,0
12,1,8,6,August 6th,11,102215,Transfiguration of Our Lord,greatfeasts/0806.Transfiguration.jpg,0
13,1,8,15,August 15th,12,102302,Dormition of the Virgin Mary,greatfeasts/0815dormition.jpg,0
14,2,0,0,"",0,0,The Pre-Lenten Sundays,"",1
15,2,0,0,5th Sunday before Great Lent,1,1,Sunday of Zacchaeus,prelent/zacchaeus.jpg,0
16,2,0,0,4th Sunday before Great Lent,2,2,Sunday of the Publican and Pharisee,prelent/publicanpharisee.jpg,0
17,2,0,0,3rd Sunday before Great Lent,3,3,Sunday of the Prodigal Son,prelent/ProdigalSonA.jpg,0
18,2,0,0,2nd Sunday before Great Lent,4,5,Sunday of the Last Judgment,prelent/lastjudgement.jpg,0
19,2,0,0,1st Sunday before Great Lent,5,7,Sunday of Cheesefare (Expulsion of Adam from Paradise),prelent/expulsion.jpg,0
20,3,0,0,"",0,0,The Lenten Commemorations,"",1
21,3,0,0,1st Sunday of Great Lent,1,10,The Sunday of Orthodoxy,GreatLent/sundayorthodoxy.jpg,0
22,3,0,0,2nd Sunday of Great Lent,2,12,The Sunday of St. Gregory Palamas,GreatLent/gregorypalamas.jpg,0
23,3,0,0,Memorial Saturday,3,13,St. Theodore the Recruit,GreatLent/theodoreoftyre.jpg,0
24,3,0,0,3rd Sunday of Great Lent,4,14,The Sunday of the Cross,GreatLent/adorationofthecross.jpg,0
25,3,0,0,4th Sunday of Great Lent,5,16,The Sunday of St. John Climacus,GreatLent/johnclimacus.jpg,0
26,3,0,0,Saturday of the Akathist to Mary,6,17,The Akathist Icon of the Mother of God,GreatLent/akathistmotherofgod.jpg,0
27,3,0,0,5th Sunday of Great Lent,7,18,Sunday of St. Mary of Egypt,GreatLent/maryegypt.jpg,0
28,3,0,0,Lazarus Saturday,8,19,The Raising of Lazarus,greatlent/lazarus.jpg,0
29,4,0,0,"",0,0,Holy Week,"",1
30,4,0,0,Palm Sunday,1,20,The Feast of the Entry of Our Lord into Jerusalem,greatfeasts/entryintojerusalem.jpg,0
31,4,0,0,Holy Monday,2,21,The Bridegroom,HolyWeek/extremehumility.jpg,0
32,4,0,0,Holy Tuesday,3,22,Parable of the Wise and Foolish Virgins,HolyWeek/Virgins.jpg,0
33,4,0,0,Holy Wednesday,4,23,Washing of the Disciples Feet,HolyWeek/washingfeetb.jpg,0
34,4,0,0,Holy Thursday,5,24,Mystical Supper,HolyWeek/mysticalsupper02.jpg,0
35,4,0,0,Holy Thursday,6,24,Crucifixion,HolyWeek/crucifixion2.jpg,0
36,4,0,0,Holy Friday,7,25,Taking down from the Cross,HolyWeek/takingdownfromcross.jpg,0
37,4,0,0,Holy Friday,8,25,The Burial of Our Lord,HolyWeek/shroud.jpg,0
38,4,0,0,Holy Saturday,9,26,Descent into Hades,Pascha/Descentcloisend.jpg,0
39,4,0,0,Holy Saturday,10,26,The Angel at the Tomb,brightweek/emptytomb.jpg,0
40,5,0,0,"",0,0,Pascha,"",1
41,5,0,0,Pascha,1,27,The Feast of Feasts: Great and Holy Pascha,Pascha/resurrectionA.jpg,0
42,6,0,0,"",0,0,Bright Week and Paschaltide,"",1
43,6,0,0,Bright Friday,1,32,Life-giving Spring,brightweek/lifegivingfount.jpg,0
44,6,0,0,2nd Sunday of Pascha,2,34,St. Thomas Sunday,pascha/thomassunday.jpg,0
45,6,0,0,3rd Sunday of Pascha,3,36,Myrrhbearing Women Sunday,pascha/myrrhbearingwomen.jpg,0
46,6,0,0,4th Sunday of Pascha,4,37,Sunday of the Paralytic,pascha/paralytic.jpg,0
47,6,0,0,4th Wednesday of Pascha,5,38,Midfeast of Pentecost,Midfeast of Pentecost,0
48,6,0,0,5th Sunday of Pascha,6,39,Sunday of the Samaritan Woman,pascha/samaritanwoman.jpg,0
49,6,0,0,6th Sunday of Pascha,7,40,Sunday of the Blind Man,pascha/blindman.jpg,0
50,6,0,0,6th Wednesday of Pascha,8,41,Leavetaking of Pascha,Pascha/resurrectionA.jpg,0
51,6,0,0,40 Days after Pascha,9,42,Ascension,pascha/ascension.jpg,0
52,6,0,0,7th Sunday of Pascha,10,43,Fathers of the 1st Ecumenical Council,pascha/fathersecumenicalcouncils.jpg,0
53,6,0,0,7th Saturday of Pascha,11,44,Memorial Saturday,nativity/1211to1217sundayofforefathers.jpg,0
54,7,0,0,"",0,0,Pentecost and the Sundays of All Saints,"",1
55,7,0,0,50 Days after Pascha,1,45,Great and Holy Pentecost,pascha/pentecostb.jpg,0
56,7,0,0,"Pentecost Week&mdash;Monday",2,46,Day of the Holy Spirit,pascha/trinityA.jpg,0
57,7,0,0,1st Sunday after Pentecost,3,48,Sunday of All Saints,pascha/allsaints.jpg,0
58,7,0,0,2nd Sunday after Pentecost,4,49,All Saints of North America,pascha/northamersts.jpg,0
59,8,0,0,"",0,0,The Lesser Feasts,"",1
60,8,1,1,January 1st,1,100001,"The Circumcision of Our Lord Jesus Christ; St. Basil the Great",january/0101circumcision.jpg,0
61,8,1,7,January 7th,2,100109,"Synaxis of the Holy Glorious Prophet, Forerunner, and Baptist John",january/0107bJohnBaptist.jpg,0
62,8,1,17,January 17th,3,100216,"St. Anthony the Great, Father of Monasticism",january/0117AnthonyGreat.jpg,0
63,8,1,30,January 30th,4,100350,"The Three Hierarchs: SS. Basil the Great, Gregory the Theologian, and John Chrysostom",january/01303hierarchs.jpg,0
64,8,2,27,February 27th,5,100610,"The Repose of St. Raphael, Bishop of Brooklyn",february/0227raphaelofbrooklyn.jpg,0
