mnId,mnMonth,mnDay,mnSid,mnName,mnAlpha,mnFname,mnGender,mnDate,mnLoc,mnDisp,mnFlevel,mnFast,mnCollect,mnIndiv,mnIcon,mnFlag,mnSermonURL,mnSort
1,1,1,100001,The Circumcision of our Lord and Savior Jesus Christ,CIRCUMCISION,The Circumcision of our Lord and Savior Jesus Christ,"","","","",1,-1,1,1,january/0101circumcision.jpg,0,,1000
2,1,1,100003,"St. Basil the Great, Archbishop of C&aelig;sarea in Cappadocia",BASIL,"Saint Basil the Great, Archbishop of Caesarea in Cappadocia","",379,"Caesarea, Cappadocia",379,1,-1,1,1,january/0101basilthegreat03.jpg,0,,1000
3,1,1,100004,Martyr Basil of Ancyra,BASIL,Martyr Basil of Ancyra,m,ca. 362,Ancyra,ca. 362,0,-1,1,1,"",0,,1000
4,1,1,100005,"St. Emilia, Mother of St. Basil the Great",EMILIA,"Saint Emilia, Mother of Saint Basil the Great",f,4th century,"Caesarea, Cappadocia","",0,-1,0,1,"",0,,1000
5,1,2,100006,Forefeast of the Theophany,THEOPHANY,Forefeast of the Theophany of our Lord and Savior Jesus Christ,"","",Jordan,"",1,-1,1,1,greatfeasts/0106theophany09.jpg,0,,1000
6,1,2,100008,"Repose of Ven. Seraphim, Wonderworker of Sarov",SERAPHIM,"Repose of Venerable Seraphim, Wonderworker of Sarov",m,1833,"Sarov, Russia",1833,1,-1,1,1,january/0102seraphim-sarov0013.jpg,0,,1000
7,1,2,100007,"St. Sylvester, Pope of Rome",SYLVESTER,"Saint Sylvester, Pope of Rome",m,335,Rome,335,0,-1,1,1,january/0102sylvester.jpg,0,,1000
8,1,2,100009,Ven. Sylvester of the Kiev Caves,SYLVESTER,Venerable Sylvester of the Kiev Near Caves,m,12th century,"Kiev Caves, Near Caves","Near Caves&mdash;12th c.",0,0,1,1,"",0,,1000
9,1,2,100010,"Righteous Juliana of Lazar&eacute;vsk",JULIANA,"Righteous Juliana of Lazarevo, Murom",f,1604,"Murom, Lazarevo","M&uacute;rom&mdash;1604",0,-1,1,1,january/0102juliana-lazarevo.jpg,0,,1000
10,1,2,100011,"Hieromartyr Theogenes, Bishop of Parium on the Hellespont",THEOGENES,"Hieromartyr Theogenes, Bishop of Parium on the Hellespont",m,ca. 320,Parium,ca. 320,0,-1,1,1,"",0,,1000
12,1,2,108896,New Martyr George,GEORGE,New Martyr George of Iberia,"",1770,"Mytilene, Greece","",0,-1,0,1,january/0102george.jpg,0,,1000
13,1,3,100012,Forefeast of the Theophany,THEOPHANY,Forefeast of the Theophany of our Lord and Savior Jesus Christ,"","",Jordan,"",1,-1,1,1,greatfeasts/0106theophany20.jpg,0,,1000
14,1,3,100013,Holy Prophet Malachi,MALACHI,Holy Prophet Malachi,"",400 B.C.,"","",0,-1,1,1,january/0103malachi-prophet04.jpg,0,,1000
15,1,3,100014,"Martyr Gordius at C&aelig;sarea in Cappadocia",GORDIUS,"Martyr Gordius at Caesarea, in Cappadocia","",4th century,"Caesarea, Cappadocia","",0,-1,1,1,january/0103gordius.jpg,0,,1000
16,1,3,100015,Ven. Genevieve of Paris,GENEVIEVE,Venerable Genevieve of Paris,f,5th century,Paris,,0,-1,1,1,january/0103genevieve.jpg,0,,1000
17,1,3,205438,St Euthymius,EUTHYMIUS,Saint Euthymius (Takaishvili),m,1953,Georgia,"",0,-1,0,1,january/0103eqvtime takaishvili.jpg,0,,1000
18,1,4,100016,Forefeast of the Theophany,THEOPHANY,Forefeast of the Theophany of our Lord and Savior Jesus Christ,"","",Jordan,"",1,-1,1,1,greatfeasts/0106theophany25.jpg,0,,1000
19,1,4,100017,"Synaxis of the Seventy Apostles: James (Jacob), the brother of the Lord; Mark the Evangelist; Luke the Evangelist; Cleophas, the brother of Joseph the Betrothed; Simeon, the son of Cleophas; Barnabas; Justus; Thadd&aelig;us; Ananias; Stephen the Archdeacon; Philip, Prochorus, Nicanor, Timon, and Parmenas of the Seven Deacons; Timothy; Titus; Philemon; Onesimus; Epaphras; Archippus; Silas; Silvanus; Crescens; Crispus; Epenetus; Andronicus; Stachys; Amplias; Urban; Narcissus; Apelles; Aristobulus; Herodion; Agabus; Rufus; Asyncritus; Phlegon; Hermes; Patrobus; Hermas; Linus; Gaius; Philologus; Lucius; Jason; Sosipater; Olympas; Tertius; Erastus; Quartus; Euodius; Onesiphorus; Clement; Sosthenes; Apollos; Tychicus; Epaphroditus; Carpus; Quadratus; Mark, called John; Zenas; Aristarchus; Pudens; Trophimus; Mark; Artemas; Aquila; Fortunatus; and Achaicus.",SYNAXIS,Synaxis of the Seventy Apostles,"",1st century,"","",0,-1,1,1,january/0104seventyapostles.jpg,0,,1000
89,6,15,100087,"Apostles Fortunatus, Akhaikos, and Stephanas of the 70",ACHAICUS,"Apostles Fortunatus, Akhaikos, and Stephanas of the 70",m,1st century,Jerusalem,"",0,-1,0,1,"",0,,999
90,1,4,100088,"Ven. Theoctistus, Abbot at Cucomo, in Sicily",THEOCTISTUS,"Venerable Theoctistus, Abbot at Cucomo, in Sicily",m,800,Silicy,"",0,-1,1,1,"",0,,1000
91,1,4,100089,"Repose of St. Eustathius I, Archbishop of Serbia",EUSTATHIUS,"Repose of Saint Eustathius I, Archbishop of Serbia","",ca. 1285,Serbia,"",0,-1,1,1,january/0104eustathius.serbia.jpg,0,,1000
92,1,4,100090,"St. Aquila, Deacon, of the Kiev Caves",AQUILA,"Saint Aquila, Deacon, of the Kiev Caves","",14th century,"Kiev Caves, Far Caves","Far Caves&mdash;14th c.",0,-1,1,1,january/0104aquilakievcaves.jpg,0,,1000
93,1,4,100091,"Confessors Zosimus the Hermit and Athanasius the Commentarisius (Superintendent of Prisoners), Anchorites, of Cilicia",ZOSIMAS,"Confessors Zosimus the Hermit and Athanasius the Commentarisius (Superintendent of Prisoners), Anchorites, of Cilicia","",3rd-4th century,Cilicia,"",0,-1,1,1,"",0,,1000
4343,1,4,205506,St. Nikephoros the Leper,NIKEPHOROS,Saint Nikephoros the Leper,m,1964,"Khania, Sikari",,0,-1,1,1,january/0104nikephoros-leper.jpg,0,,1000
95,1,4,100093,"Ven. Euthymius and twelve other Monks, martyred at Vatopedi",EUTHYMIUS,"Venerable Euthymius and twelve other Monks, martyred at Vatopedi",m,1285,"Vatopedi, Mt Athos","Mt. Athos&mdash;1285",0,-1,1,1,"",0,,1000
