psId,psIdx,psSid,psText,psCtext,psFname,psFlevel,psFast,psIcon,psFlag,psSermonURL
1,-147,0,22nd Sunday,"","",0,0,"",1,
2,-146,0,"","","",0,0,"",1,
3,-145,0,"","","",0,0,"",1,
4,-144,0,"","","",0,1,"",1,
5,-143,0,"","","",0,0,"",1,
6,-142,0,"","","",0,1,"",1,
7,-141,0,"","","",0,0,"",1,
8,-140,0,23rd Sunday,"","",0,0,"",1,
9,-139,0,"","","",0,0,"",1,
10,-138,0,"","","",0,0,"",1,
11,-137,0,"","","",0,1,"",1,
12,-136,0,"","","",0,0,"",1,
13,-135,0,"","","",0,1,"",1,
14,-134,0,"","","",0,0,"",1,
15,-133,0,24th Sunday,"","",0,0,"",1,
16,-132,0,"","","",0,0,"",1,
17,-131,0,"","","",0,0,"",1,
18,-130,0,"","","",0,1,"",1,
19,-129,0,"","","",0,0,"",1,
20,-128,0,"","","",0,1,"",1,
21,-127,0,"","","",0,0,"",1,
22,-126,0,25th Sunday,"","",0,0,"",1,
23,-125,0,"","","",0,0,"",1,
24,-124,0,"","","",0,0,"",1,
25,-123,0,"","","",0,1,"",1,
26,-122,0,"","","",0,0,"",1,
27,-121,0,"","","",0,1,"",1,
28,-120,0,"","","",0,0,"",1,
29,-119,0,26th Sunday,"","",0,0,"",1,
30,-118,0,"","","",0,0,"",1,
31,-117,0,"","","",0,0,"",1,
32,-116,0,"","","",0,1,"",1,
33,-115,0,"","","",0,0,"",1,
34,-114,0,"","","",0,1,"",1,
35,-113,0,"","","",0,0,"",1,
36,-112,0,27th Sunday,"","",0,0,"",1,
37,-111,0,"","","",0,0,"",1,
38,-110,0,"","","",0,0,"",1,
39,-109,0,"","","",0,1,"",1,
40,-108,0,"","","",0,0,"",1,
41,-107,0,"","","",0,1,"",1,
42,-106,0,"","","",0,0,"",1,
43,-105,0,28th Sunday,"","",0,0,"",1,
44,-104,0,"","","",0,0,"",1,
45,-103,0,"","","",0,0,"",1,
46,-102,0,"","","",0,1,"",1,
47,-101,0,"","","",0,0,"",1,
48,-100,0,"","","",0,1,"",1,
49,-99,0,"","","",0,0,"",1,
50,-98,0,29th Sunday,"","",0,0,"",1,
51,-97,0,"","","",0,0,"",1,
52,-96,0,"","","",0,0,"",1,
53,-95,0,"","","",0,1,"",1,
54,-94,0,"","","",0,0,"",1,
55,-93,0,"","","",0,1,"",1,
56,-92,0,"","","",0,0,"",1,
57,-91,0,30th Sunday,"","",0,0,"",1,
58,-90,0,"","","",0,0,"",1,
59,-89,0,"","","",0,0,"",1,
60,-88,0,"","","",0,1,"",1,
61,-87,0,"","","",0,0,"",1,
62,-86,0,"","","",0,1,"",1,
63,-85,0,"","","",0,0,"",1,
64,-84,0,31st Sunday,"","",0,0,"",1,
65,-83,0,"","","",0,0,"",1,
66,-82,0,"","","",0,0,"",1,
67,-81,0,"","","",0,1,"",1,
68,-80,0,"","","",0,0,"",1,
69,-79,0,"","","",0,1,"",1,
70,-78,0,"","","",0,0,"",1,
71,-77,1,"",Sunday of Zacchaeus,Sunday of Zacchaeus,1,0,prelent/zacchaeus.jpg,0,
72,-76,0,"","","",0,0,"",1,
73,-75,0,"","","",0,0,"",1,
74,-74,0,"","","",0,1,"",1,
75,-73,0,"","","",0,0,"",1,
76,-72,0,"","","",0,1,"",1,
77,-71,0,"","","",0,0,"",1,
78,-70,2,Sunday of the Publican and the Pharisee,Beginning of the Lenten Triodion,Sunday of the Publican and the Pharisee <em>Beginning of the Lenten Triodion</em>,1,-1,prelent/publicanpharisee.jpg,0,
79,-69,0,"","","",0,-1,"",1,
80,-68,0,"","","",0,-1,"",1,
81,-67,0,"","","",0,-1,"",1,
82,-66,0,"","","",0,-1,"",1,
83,-65,0,"","","",0,-1,"",1,
84,-64,0,"","","",0,-1,"",1,
85,-63,3,Sunday of the Prodigal Son,"",Sunday of the Prodigal Son,1,0,prelent/prodigalsona.jpg,0,
86,-62,0,"","","",0,0,"",1,
87,-61,0,"","","",0,0,"",1,
88,-60,0,"","","",0,1,"",1,
89,-59,0,"","","",0,0,"",1,
90,-58,0,"","","",0,1,"",1,
91,-57,4,"","Saturday of Meatfare Week  &mdash; Memorial Saturday",Memorial Saturday of Meatfare,1,0,"",0,
92,-56,5,Sunday of Meatfare,Sunday of the Last Judgment,Sunday of Meatfare of the Last Judgment,1,0,prelent/lastjudgement.jpg,0,
93,-55,0,"","","",0,1,"",1,
94,-54,0,"","","",0,1,"",1,
95,-53,0,"","","",0,1,"",1,
96,-52,0,"","","",0,1,"",1,
97,-51,0,"","","",0,1,"",1,
98,-50,6,"","Saturday of Cheesefare &mdash; Commemoration of All Departed Righteous Monastics",Saturday of Cheesefare Commemoration of all our God-bearing Fathers and Mothers who shone forth in asceticism,1,1,prelent/sat-b4-chsfr-synaxis-monastics.jpg,0,
99,-49,7,Sunday of Cheesefare,The Expulsion of Adam and Eve from Paradise,Sunday of Cheesefare: Expulsion of Adam from Paradise,1,1,prelent/expulsion.jpg,0,
100,-48,8,Beginning of the Great Fast,"",Beginning of Great Lent,1,1,holyweek/extremehumility.jpg,0,
101,-47,0,Great Canon of St. Andrew of Crete,"","",1,1,"",1,
102,-46,0,Great Canon of St. Andrew of Crete,"","",1,1,"",1,
103,-45,0,Great Canon of St. Andrew of Crete,"","",1,1,"",1,
104,-44,0,"","","",0,1,"",1,
105,-43,9,First Saturday of Great Lent,Commemoration of St. Theodore the Recruit and the Miracle of the Boiled Wheat,1st Saturday of Great Lent: The Miracle of the Boiled Wheat,1,1,greatlent/theodoreoftyre.jpg,0,
106,-42,10,First Sunday of Lent,Sunday of Orthodoxy,1st Sunday of Great Lent: Sunday of Orthodoxy,1,1,greatlent/sundayorthodoxy.jpg,0,
107,-41,0,"","","",0,1,"",1,
108,-40,0,"","","",0,1,"",1,
109,-39,0,"","","",0,1,"",1,
110,-38,0,"","","",0,1,"",1,
111,-37,0,"","","",0,1,"",1,
112,-36,11,Second Saturday of Lent,Memorial Saturday,2nd Saturday of Great Lent: Memorial Saturday,1,1,"",0,
113,-35,12,Second Sunday of Lent,St. Gregory Palamas,2nd Sunday of Great Lent: St Gregory Palamas,1,1,greatlent/gregorypalamas0003.jpg,0,
114,-34,0,"","","",0,1,"",1,
115,-33,0,"","","",0,1,"",1,
116,-32,0,"","","",0,1,"",1,
117,-31,0,"","","",0,1,"",1,
118,-30,0,"","","",0,1,"",1,
119,-29,13,Third Saturday of Lent,Memorial Saturday,3rd Saturday of Great Lent: Memorial Saturday,1,1,"",0,
120,-28,14,Third Sunday of Lent,Veneration of the Cross,3rd Sunday of Great Lent: Veneration of the Cross,1,1,greatlent/adorationofthecrossb.jpg,0,
121,-27,0,"","","",0,1,"",1,
122,-26,0,"","","",0,1,"",1,
123,-25,0,"","","",0,1,"",1,
124,-24,0,"","","",0,1,"",1,
125,-23,0,"","","",0,1,"",1,
126,-22,15,Fourth Saturday of Lent,Memorial Saturday,4th Saturday of Great Lent: Memorial Saturday,1,1,"",0,
127,-21,16,Fourth Sunday of Lent,St. John Climacus (of <em>The Ladder</em>),4th Sunday of Great Lent: St John Climacus (of the Ladder),1,1,greatlent/johnclimacus.jpg,0,
128,-20,0,"","","",0,1,"",1,
129,-19,0,"","","",0,1,"",1,
130,-18,0,"","","",0,1,"",1,
131,-17,0,Great Canon of St. Andrew of Crete,"","",1,1,"",1,
132,-16,0,"","","",0,1,"",1,
133,-15,17,Fifth Saturday of Lent,Saturday of the Akathist to the Most-holy Theotokos,5th Saturday of Great Lent: of the Akathist to the Theotokos,1,1,greatlent/akathistmotherofgod.jpg,0,
134,-14,18,Fifth Sunday of Lent,St Mary of Egypt,5th Sunday of Great Lent: St Mary of Egypt,1,1,greatlent/maryegypt.jpg,0,
135,-13,0,"","","",0,1,"",1,
136,-12,0,"","","",0,1,"",1,
137,-11,0,"","","",0,1,"",1,
138,-10,0,"","","",0,1,"",1,
139,-9,0,"","","",0,1,"",1,
140,-8,19,Lazarus Saturday,"",The Raising of Lazarus (Lazarus Saturday),1,1,greatlent/lazarus.jpg,0,
141,-7,20,Entry of our Lord into Jerusalem,Palm Sunday,Entry of Our Lord into Jerusalem (Palm Sunday),3,1,greatfeasts/entryintojerusalem.jpg,0,/fs/sermons/the-lords-entry-into-jerusalem
142,-6,21,Great and Holy Monday,"",Great and Holy Monday,1,1,holyweek/extremehumility.jpg,0,
143,-5,22,Great and Holy Tuesday,"",Great and Holy Tuesday,1,1,holyweek/virgins.jpg,0,
144,-4,23,Great and Holy Wednesday,"",Great and Holy Wednesday,1,1,holyweek/washingfeetb.jpg,0,
145,-3,24,Great and Holy Thursday,"",Great and Holy Thursday,1,1,holyweek/mysticalsupper02.jpg,0,
146,-2,25,Great and Holy Friday,"",Great and Holy Friday,1,1,holyweek/crucifixion-0001.jpg,0,
147,-1,26,Great and Holy Saturday,"",Great and Holy Saturday,1,1,pascha/descent-into-hades-0001.jpg,0,
148,0,27,"Holy Pascha &mdash; The Resurrection of our Lord and Savior Jesus Christ",[Beginning of the Pentecostarion],HOLY PASCHA: The Resurrection of Our Lord,3,-1,pascha/resurrection02.jpg,0,/fs/sermons/the-paschal-sermon
149,1,28,Bright Monday,"",Bright Monday,1,-1,pascha/resurrectiona.jpg,0,
150,2,29,Bright Tuesday,"",Bright Tuesday,1,-1,pascha/resurrection0050.jpg,0,
151,3,30,Bright Wednesday,"",Bright Wednesday,1,-1,pascha/resurrection0051.jpg,0,
152,4,31,Bright Thursday,"",Bright Thursday,1,-1,pascha/resurrection0052.jpg,0,
153,5,32,Bright Friday,"The &ldquo;Lifegiving Fountain&rdquo; Icon of the Most-holy Theotokos",Bright Friday: The Life Giving Fountain of the Mother of God,1,-1,brightweek/lifegivingfount.jpg,0,
154,6,33,Bright Saturday,"",Bright Saturday,1,-1,pascha/descent-hades11.jpg,0,
155,7,34,Antipascha. 2nd Sunday of Pascha,St. Thomas Sunday,Antipascha: Saint Thomas Sunday,1,0,pascha/thomassunday.jpg,0,
