peId,peMonth,peDay,pePday,peType,peDesc,peReading,peDisplay,peIndex,peFlag
1,0,0,-147,Epistle,"",Gal_6011_6018,Galatians 6:11-18,69,0
2,0,0,-147,Gospel,"",Luke_16019_16031,Luke 16:19-31,79,0
3,0,0,-146,Epistle,"",1Thess_1001_1005,1 Thessalonians 1:1-5,69,0
4,0,0,-146,Gospel,"",Luke_10022_10024,Luke 10:22-24,79,0
5,0,0,-145,Epistle,"",1Thess_1006_1010,1 Thessalonians 1:6-10,69,0
6,0,0,-145,Gospel,"",Luke_11001_11010,Luke 11:1-10,79,0
7,0,0,-144,Epistle,"",1Thess_2001_2008,1 Thessalonians 2:1-8,69,0
8,0,0,-144,Gospel,"",Luke_11009_11013,Luke 11:9-13,79,0
9,0,0,-143,Epistle,"",1Thess_2009_2014,1 Thessalonians 2:9-14,69,0
10,0,0,-143,Gospel,"",Luke_11014_11023,Luke 11:14-23,79,0
11,0,0,-142,Epistle,"",1Thess_2014_2019,1 Thessalonians 2:14-19,69,0
12,0,0,-142,Gospel,"",Luke_11023_11026,Luke 11:23-26,79,0
13,0,0,-141,Epistle,"",2Cor_8001_8005,2 Corinthians 8:1-5,69,0
14,0,0,-141,Gospel,"",Luke_8016_8021,Luke 8:16-21,79,0
15,0,0,-140,Epistle,"",Eph_2004_2010,Ephesians 2:4-10,69,0
16,0,0,-140,Gospel,"",Luke_8026_8039,Luke 8:26-39,79,0
17,0,0,-139,Epistle,"",1Thess_2020_3008,1 Thessalonians 2:20-3:8,69,0
18,0,0,-139,Gospel,"",Luke_11029_11033,Luke 11:29-33,79,0
19,0,0,-138,Epistle,"",1Thess_3009_30013,1 Thessalonians 3:9-30:13,69,0
20,0,0,-138,Gospel,"",Luke_11034_11041,Luke 11:34-41,79,0
21,0,0,-137,Epistle,"",1Thess_4001_4012,1 Thessalonians 4:1-12,69,0
22,0,0,-137,Gospel,"",Luke_11042_11046,Luke 11:42-46,79,0
23,0,0,-136,Epistle,"",1Thess_5001_5008,1 Thessalonians 5:1-8,69,0
24,0,0,-136,Gospel,"",Luke_11047_12001,Luke 11:47-12:1,79,0
25,0,0,-135,Epistle,"",1Thess_5009_5013|1Thess_5024_5028,"1 Thessalonians 5:9-13, 24-28",69,0
26,0,0,-135,Gospel,"",Luke_12002_12012,Luke 12:2-12,79,0
27,0,0,-134,Epistle,"",2Cor_11001_11006,2 Corinthians 11:1-6,69,0
28,0,0,-134,Gospel,"",Luke_9001_9006,Luke 9:1-6,79,0
29,0,0,-133,Epistle,"",Eph_2014_2022,Ephesians 2:14-22,69,0
30,0,0,-133,Gospel,"",Luke_8041_8056,Luke 8:41-56,79,0
31,0,0,-132,Epistle,"",2Thess_1001_1010,2 Thessalonians 1:1-10,69,0
32,0,0,-132,Gospel,"",Luke_12013_12015|Luke_12022_12031,"Luke 12:13-15, 22-31",79,0
33,0,0,-131,Epistle,"",2Thess_1010_2002,2 Thessalonians 1:10-2:2,69,0
34,0,0,-131,Gospel,"",Luke_12042_12048,Luke 12:42-48,79,0
35,0,0,-130,Epistle,"",2Thess_2001_2012,2 Thessalonians 2:1-12,69,0
36,0,0,-130,Gospel,"",Luke_12048_12059,Luke 12:48-59,79,0
37,0,0,-129,Epistle,"",2Thess_2013_3005,2 Thessalonians 2:13-3:5,69,0
38,0,0,-129,Gospel,"",Luke_13001_13009,Luke 13:1-9,79,0
39,0,0,-128,Epistle,"",2Thess_3006_3018,2 Thessalonians 3:6-18,69,0
40,0,0,-128,Gospel,"",Luke_13031_13035,Luke 13:31-35,79,0
41,0,0,-127,Epistle,"",Gal_1003_1010,Galatians 1:3-10,69,0
42,0,0,-127,Gospel,"",Luke_9037_9043,Luke 9:37-43,79,0
43,0,0,-126,Epistle,"",Eph_4001_4006,Ephesians 4:1-6,69,0
44,0,0,-126,Gospel,"",Luke_10025_10037,Luke 10:25-37,79,0
45,0,0,-125,Epistle,"",1Tim_1001_1007,1 Timothy 1:1-7,69,0
46,0,0,-125,Gospel,"",Luke_14012_14015,Luke 14:12-15,79,0
47,0,0,-124,Epistle,"",1Tim_1008_1014,1 Timothy 1:8-14,69,0
48,0,0,-124,Gospel,"",Luke_14025_14035,Luke 14:25-35,79,0
49,0,0,-123,Epistle,"",1Tim_1018_1020|1Tim_2008_2015,"1 Timothy 1:18-20, 2:8-15",69,0
50,0,0,-123,Gospel,"",Luke_15001_15010,Luke 15:1-10,79,0
51,0,0,-122,Epistle,"",1Tim_3001_3013,1 Timothy 3:1-13,69,0
52,0,0,-122,Gospel,"",Luke_16001_16009,Luke 16:1-9,79,0
53,0,0,-121,Epistle,"",1Tim_4004_4008|1Tim_4016_4016,"1 Timothy 4:4-8, 16",69,0
