trId,trTid,trSid,trType,trTone,trText,trFlag
6,6,107787,1,8,"<p>Now the image of Your Cross has shone brighter than the sun,| spreading from the Holy Mountain<sup>1</sup> to the Place of the Skull,<sup>2</sup> |and in it O Savior, You revealed Your power, thereby strengthening us. |Keep us always in peace, through the intercessions of the Theotokos, O Christ God, and save us.</p><hr>
<sup>1</sup> The Mount of Olives.<br>
<sup>2</sup> Golgotha.",0
7,7,102308,1,1,"In giving birth you preserved your virginity,|in falling asleep you did not forsake the world, O Theotokos.|You were translated to life, O Mother of Life,|and by your prayers, you deliver our souls from death.",0
8,8,103526,1,1,"At the First Council you appeared as a champion of Truth and a Wonderworker, O our God-bearing Father Spyridon. |For you spoke to one dead in her grave, and transformed a serpent into gold; |while chanting your holy prayers| you had Angels serving with you, most holy one. |Glory to Him Who glorified you. |Glory to Him Who crowned you. |Glory to Him Who, through you, grants healing to all.",0
9,9,103520,1,1,"You were a pillar of patient endurance,|having imitated the forefathers, O Venerable One:|Job in suffering, and Joseph in temptations.|You lived like the bodiless ones while yet in the flesh, O Daniel, our Father.|Beseech Christ God that our souls may be saved.",0
11,11,100443,1,1,"Mystical tongues of the Holy Spirit|rational harps of grace|sounding forth sweet hymns of discernment|which soothe and rejoice men&rsquo;s souls,|you moved them to cast off the yoke of passion|and to trample on Satan&rsquo;s head.|Therefore, God-like Barsanuphius and wise John,|deliver those who sing to you:|Glory to Him who has given you grace!|Glory to Him who has blessed you!|Glory to Him who has saved many through your holy words of counsel!",0
12,12,101738,1,3,"God called you to the sacred priesthood|as a worthy servant of the Holy Trinity.|You shone forth with the grace of godliness|strengthening the Church by many miracles.|Righteous Tikhon, entreat Christ our God to grant us His great mercy.",0
14,14,107799,1,1,"In the flesh you lived the life of the angels,|you were citizens of the desert and treasuries of grace,|O Onuphrius, adornment of Egypt,|and Peter the light of Athos.|Therefore we honor your struggles as we sing to you:|Glory to him who has strengthened you!|Glory to him who granted you a crown!|Glory to him who through you grants healing to all!",0
15,15,100456,1,1,"Hail, Virgin Theotokos, full of grace; |for from you has shone forth the Sun of Righteousness, Christ our God, | giving light to those in darkness.| Be glad, O righteous Elder;| for you received in your arms the Redeemer of our souls, |Who bestows upon us the resurrection.",0
18,18,103598,1,1,"As a zealous advocate of the Orthodox faith,|as a caring Solicitor for the land of Russia,|faithful to the rules and image of a pastor,|preaching repentance and life in Christ,|an awesome servant and administer of God&rsquo;s sacraments,|a daring intercessor for people&rsquo;s sake,|O Good and righteous Father John,|healer and wonderful miracle-worker,|the praise of the town of Kronstadt|and decoration of our Church,|beseech the All-Merciful God|to reconcile the world and to save our souls!",0
19,19,100518,1,1,"<em>(Podoben: &ldquo;When the stone had been sealed...&rdquo;)</em><br>
O citizen of the desert and angel in the body, | you were shown to be a wonderworker, our God-bearing Father Auxentios; | through fasting, vigil, and prayer, you received heavenly gifts, | healing the sick, and the souls of those who run to you with faith. |Glory to Him Who strengthened you. |Glory to Him Who crowned you.|Glory to Him Who, through you, works healing for all!",0
